,city,region,country,lng,lat,population,continent
6474,Salgótarján,Nógrád,HU,19.7867,48.0853,32304,NA
6475,Salihli,Manisa,TR,28.1392,38.4811,28909,EU
6476,Salihorsk,Minskaya Voblasts’,BY,27.5425,52.7842,100824,EU
6477,Salima,Salima,MW,34.4333,-13.7829,71181,NA
6478,Salinas Victoria,Nuevo León,MX,-100.3,25.9667,27848,SA
6479,Salmās,Āz̄arbāyjān-e Gharbī,IR,44.7667,38.2,127864,EU
6480,Salo,Varsinais-Suomi,FI,23.1331,60.3831,53890,SA
6481,Salqīn,Idlib,SY,36.4539,36.1394,23700,EU
6482,Salsk,Rostovskaya Oblast’,RU,41.5333,46.4833,57622,AS
6483,Salt Lake City,Utah,US,-111.9306,40.7777,1098526,EU
6484,Salta,Salta,AR,-65.4106,-24.7883,535303,AF
6485,Saltillo,Coahuila de Zaragoza,MX,-101.0,25.4333,864431,NA
6486,Salto,Salto,UY,-57.9606,-31.3883,124878,AS
6487,Salto de Agua,Chiapas,MX,-92.3333,17.55,63446,EU
6488,Salto del Guairá,Canindeyú,PY,-54.34,-24.02,37600,AS
6489,Salvador,Bahia,BR,-38.5108,-12.9708,2886698,EU
6490,Salvaterra de Magos,Santarém,PT,-8.7833,39.0167,22159,NA
6491,Salvatierra,Guanajuato,MX,-100.8961,20.2156,37203,SA
6492,Salyan,Salyan,AZ,48.9847,39.5961,30396,NA
6493,Salzburg,Salzburg,AT,13.0477,47.7972,155021,SA
6494,Salzgitter,Lower Saxony,DE,10.3593,52.1503,104948,NA
6495,Salzwedel,Saxony-Anhalt,DE,11.15,52.85,23655,SA
6496,Sam Ko,Ang Thong,TH,100.2602,14.6013,10696,SA
6497,Sam Phran,Nakhon Pathom,TH,100.2153,13.727,17611,EU
6498,Sam Sung,Khon Kaen,TH,103.0796,16.5415,5310,NA
6499,Samacá,Boyacá,CO,-73.4867,5.4919,20767,AS
6500,Samandağ,Hatay,TR,35.9806,36.085,34641,EU
6501,Samaniego,Nariño,CO,-77.5925,1.3364,49178,EU
6502,Samaná,Cibao Nordeste,DO,-69.3364,19.2053,58156,EU
6503,Samara,Samarskaya Oblast’,RU,50.1167,53.1833,1169719,AS
6504,Samarinda,Kalimantan Timur,ID,117.1536,-0.5022,753370,AS
6505,Samarkand,Samarqand,UZ,66.9597,39.6542,546303,AS
6506,Sambava,Antsiranana,MG,50.1666,-14.2662,43465,SA
6507,Sambir,L’vivs’ka Oblast’,UA,23.2,49.5167,34444,AS
6508,Samobor,Zagrebačka Županija,HR,15.711,45.8011,15147,SA
6509,Sampit,Kalimantan Tengah,ID,112.95,-2.5329,92710,NA
6510,Sampués,Sucre,CO,-75.3786,9.1847,37925,EU
6511,Samsun,Samsun,TR,36.33,41.2867,107510,AS
6512,Samtredia,Imereti,GE,42.3417,42.1625,25318,AS
6513,Samtse,Samtse,BT,89.1,26.8667,4981,AF
6514,Samut Prakan,Samut Prakan,TH,100.5964,13.6004,51309,EU
6515,Samut Sakhon,Samut Sakhon,TH,100.2775,13.5486,60103,
6516,Samut Songkhram,Samut Songkhram,TH,100.0017,13.4097,28493,EU
6517,Samux,Samux,AZ,46.4083,40.7642,10228,AS
6518,San,Ségou,ML,-4.9,13.3004,41386,SA
6519,San Agustín,Huila,CO,-76.2683,1.8792,34120,AS
6520,San Agustín Acasaguastlán,El Progreso,GT,-89.9667,14.95,40121,AS
6521,San Alberto,Cesar,CO,-73.3931,7.7592,26551,AS
6522,San Andrés,San Andrés y Providencia,CO,-81.7006,12.5847,71946,AS
6523,San Andrés Huaxpaltepec,Oaxaca,MX,-97.9167,16.3333,6168,AS
